NAME,TEAM,DEPTH,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Total,Avg,TM TGT %,Rec,Catch %,TD
"Michael Thomas","NO",2,"24%","24%","26%","15%","27%","16%","13%","24%","3%","5%","","","","","","","","",64,6.4,10.6,39,60.9,1
"Montrell Washington","KC","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Mike Williams","LAC",1,"15%","32%","17%","","","","","","","","","","","","","","","",26,8.7,4.1,19,73.1,1
"N'Keal Harry","MIN",5,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Nick Westbrook-Ikhine","TEN",3,"21%","12%","","23%","9%","19%","","7%","3%","10%","6%","18%","9%","11%","8%","","","",45,3.2,9.1,28,62.2,3
"Phillip Dorsett","DEN",7,"3%","","","","","","","","","","","","","","","","6%","",3,1.5,0.6,0,0,
"Ryan Miller","TB","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Simi Fehoko","LAC",7,"","","","","","","","5%","","","","","","","","","","",2,0.3,0.3,1,50,1
"Shedrick Jackson","CIN","","","","","","","","","","","","3%","","","","","","","",1,0.3,0.2,0,0,
"Skyy Moore","KC",3,"8%","10%","16%","7%","5%","10%","7%","8%","10%","","5%","9%","6%","2%","","","","",38,2.7,6,21,55.3,1
"Steven Sims","HOU",3,"","","","","","","","","","","5%","","","","3%","","","",3,1,0.5,3,100,
"Samori Toure","GB",5,"11%","8%","7%","3%","","","6%","","","","","","","10%","","7%","3%","",18,1.6,3.1,8,44.4,
"Terrell Bynum","LAC","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Tank Dell","HOU",3,"9%","21%","23%","10%","11%","","","17%","26%","36%","26%","22%","","","","","","",75,6.8,12.7,47,62.7,7
"Trishton Jackson","MIN","","","","","","","","2%","","8%","","","","","","","","","",4,0.6,0.6,2,50,
"Tay Martin","SF","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Ty Montgomery II","NE","","6%","2%","","","13%","3%","","","","","","3%","","7%","","","","",12,0.9,2.2,5,41.7,
"Tre'Quan Smith","DEN",6,"","","","","","","","","","","","","","","","","","",0,0,0,0,0,
"Willie Snead IV","SF","","","","","5%","","","","","","","","","","","","4%","","",3,0.8,0.6,2,66.7,
